authorId,url,name,affiliations,homepage,paperCount,citationCount,hIndex,fake,institutionid
7265495,https://www.semanticscholar.org/author/7265495,James C. Petrovich,[],,26,157,9,0,4186
40861575,https://www.semanticscholar.org/author/40861575,Mary K. Twis,[],,23,101,6,0,4301
2073784912,https://www.semanticscholar.org/author/2073784912,S. Evans,[],,5,15,3,0,2250
6880566,https://www.semanticscholar.org/author/6880566,A. Manandhar,[],,24,147,7,0,4238
51139589,https://www.semanticscholar.org/author/51139589,T. Ledeneva,[],,19,27,4,0,4263
123066510,https://www.semanticscholar.org/author/123066510,J. Kolbuszewski,[],,44,6,1,0,4098
1471169735,https://www.semanticscholar.org/author/1471169735,Regine M. Gilbert,[],,11,12,1,0,3170
15286113,https://www.semanticscholar.org/author/15286113,N. Medcalf,[],,55,554,15,0,419
6539599,https://www.semanticscholar.org/author/6539599,P. Srisan,[],,13,501,8,0,3086
11389934,https://www.semanticscholar.org/author/11389934,Sangravee Juhong,[],,1,10,1,0,7463
14448741,https://www.semanticscholar.org/author/14448741,W. Kanjanapatanakul,[],,4,45,2,0,5734
31042456,https://www.semanticscholar.org/author/31042456,Abubakar Sharif,[],,50,352,11,0,6185
144454648,https://www.semanticscholar.org/author/144454648,J. Ouyang,[],,115,1129,19,0,1457
144934529,https://www.semanticscholar.org/author/144934529,K. Arshad,[],,139,1610,19,0,4967
153338022,https://www.semanticscholar.org/author/153338022,M. Imran,[],,194,1257,18,0,5149
1997379,https://www.semanticscholar.org/author/1997379,Q. Abbasi,[],,639,4927,34,0,562
144982543,https://www.semanticscholar.org/author/144982543,C. Unnithan,[],,112,397,10,0,8471
144461184,https://www.semanticscholar.org/author/144461184,E. Chan,[],,37,124,7,0,1344
2196534,https://www.semanticscholar.org/author/2196534,P. Swatman,[],,190,3244,26,0,1404
20353786,https://www.semanticscholar.org/author/20353786,G. Wylie,[],,13,116,5,0,6222
38559013,https://www.semanticscholar.org/author/38559013,Zoë Young,[],,6,47,3,0,5556
5606433,https://www.semanticscholar.org/author/5606433,R. Littleford,[],,70,1174,19,0,499
49119909,https://www.semanticscholar.org/author/49119909,F. Sullivan,[],,116,2783,23,0,6512
1871985,https://www.semanticscholar.org/author/1871985,J. Coyle,[],,43,2338,17,0,8339
144531222,https://www.semanticscholar.org/author/144531222,B. Williams,[],,102,2737,21,0,8036
4599691,https://www.semanticscholar.org/author/4599691,H. Menz,[],,580,25053,85,0,325
4067966,https://www.semanticscholar.org/author/4067966,S. Ogston,[],,182,8457,51,0,3687
2118077161,https://www.semanticscholar.org/author/2118077161,Jacqui H Morris,[],,97,1886,19,0,4169
4075373,https://www.semanticscholar.org/author/4075373,M. Donaldson,[],,88,701,15,0,4930
7308423,https://www.semanticscholar.org/author/7308423,J. Goodchild,[],,74,496,11,0,5405
40638151,https://www.semanticscholar.org/author/40638151,Jane Ziegler,[],,75,230,8,0,3164
144056379,https://www.semanticscholar.org/author/144056379,Satoshi Watanabe,[],,102,2174,12,0,6665
70117134,https://www.semanticscholar.org/author/70117134,S. Kotsuki,[],,82,383,13,0,3167
2032223,https://www.semanticscholar.org/author/2032223,S. Kanae,[],,370,21331,55,0,7928
145632198,https://www.semanticscholar.org/author/145632198,Kenji Tanaka,[],,172,2921,22,0,4891
49783256,https://www.semanticscholar.org/author/49783256,A. Higuchi,[],,94,546,14,0,6306
2108215740,https://www.semanticscholar.org/author/2108215740,Soo-Young Lee,[],,10,48,4,0,5160
7023574,https://www.semanticscholar.org/author/7023574,Y. Koo,[],,61,742,17,0,7791
150077879,https://www.semanticscholar.org/author/150077879,Dae-Hyung Lee,[],,29,120,6,0,5682
14469286,https://www.semanticscholar.org/author/14469286,H. Javanmardi,[],,8,83,4,0,7643
39904764,https://www.semanticscholar.org/author/39904764,A. Abbasi,[],,205,2240,27,0,1687
14489464,https://www.semanticscholar.org/author/14489464,H. Bagheri,[],,159,4764,40,0,2758
49981137,https://www.semanticscholar.org/author/49981137,Tong Wang,[],,41,318,10,0,1364
46453254,https://www.semanticscholar.org/author/46453254,Hailong Jin,[],,30,123,6,0,4487
6374222,https://www.semanticscholar.org/author/6374222,U. Kreuter,[],,107,3280,32,0,4033
3979665,https://www.semanticscholar.org/author/3979665,H. Feng,[],,115,1348,21,0,8319
49967823,https://www.semanticscholar.org/author/49967823,D. Hennessy,[],,286,4774,33,0,7671
46667806,https://www.semanticscholar.org/author/46667806,R. Teague,[],,39,713,13,0,3929
48744889,https://www.semanticscholar.org/author/48744889,Yuyuan Che,[],,13,58,3,0,6285
145585059,https://www.semanticscholar.org/author/145585059,K. Phillips,[],,395,326,6,0,6288
5082872,https://www.semanticscholar.org/author/5082872,A. Lanzavecchia,[],,507,111265,153,0,4799
2205810468,https://www.semanticscholar.org/author/2205810468,Nguyen Cuong Nam,[],,2,0,0,0,5386
2070396817,https://www.semanticscholar.org/author/2070396817,P. Nichols,[],,11,47,4,0,7750
51302372,https://www.semanticscholar.org/author/51302372,K. Mutter,[],,20,22,3,0,2741
9198791,https://www.semanticscholar.org/author/9198791,Priyanka A. Wagh,[],,4,23,2,0,1166
39984458,https://www.semanticscholar.org/author/39984458,Rohit R. Pawar,[],,6,47,3,0,5461
2473130,https://www.semanticscholar.org/author/2473130,S. Nalbalwar,[],,167,774,15,0,4249
2132914,https://www.semanticscholar.org/author/2132914,E. Che,[],,13,174,4,0,1366
1751136,https://www.semanticscholar.org/author/1751136,H. Tuan,[],,355,8818,46,0,7542
1693287,https://www.semanticscholar.org/author/1693287,Ha H. Nguyen,[],,305,3594,28,0,3986
1769111,https://www.semanticscholar.org/author/1769111,A. Millonig,[],,52,756,15,0,3419
2483983,https://www.semanticscholar.org/author/2483983,G. Maierbrugger,[],,5,9,2,0,5404
2076511886,https://www.semanticscholar.org/author/2076511886,Eva Favry,[],,3,8,2,0,5700
4266258,https://www.semanticscholar.org/author/4266258,F. Mensonides,[],,20,805,10,0,3410
4973703,https://www.semanticscholar.org/author/4973703,S. Brul,[],,268,9414,49,0,5744
4323974,https://www.semanticscholar.org/author/4323974,K. Hellingwerf,[],,427,17262,72,0,6124
32210047,https://www.semanticscholar.org/author/32210047,Barbara M. Bakker,['University of Groningen'],https://www.rug.nl/staff/b.m.bakker/,154,9511,43,0,6076
8183327,https://www.semanticscholar.org/author/8183327,M. J. Teixeira de Mattos,[],,53,2886,30,0,3959
