author,paper
7265495,219410769
6880566,225065627
51139589,209854486
123066510,239681712
1471169735,214506937
15286113,232355224
6539599,24987797
31042456,215948829
144982543,2178047
20353786,36606960
4075373,207393142
144056379,226193169
2108215740,221076729
14469286,203609021
49981137,210934409
145585059,85151175
5082872,75791365
2205810468,237561766
2070396817,46711191
51302372,52298978
9198791,22238059
2132914,14154659
1769111,14151582
4266258,21990474
14108732,19653587
2090906062,19904885
2061721570,1237780
1476162861,19966672
5538696,7211558
115420782,10241326
2002682,8160903
27016132,238814041
50042010,201836678
2630510,27794840
35185410,27667270
15986786,27588600
7021738,27351979
145664618,27393318
2517066,26043138
153640001,33402859
2352508,31929237
49893490,31001449
87330323,30640608
144896695,30333216
4380850,28679281
2873234,46393313
113034929,25632366
3808981,215726754
1400787584,195064109
2096320,23917679
47875025,14119063
52550528,159373645
2375611,4733413
1800323,45069334
49998789,29570261
2126285263,214338841
40587772,3174114
144852963,33126243
5366295,201968370
2107741735,10650788
12063279,26354945
5203253,41273089
2064724772,232058337
1421157409,39213875
81133579,26500411
16906921,39636218
8268147,6492721
80257295,29223630
2107426049,13292006
39228419,37357946
2242143,21567508
11965248,19262418
4287758,219106163
3704594,199538811
16969020,1881617
49140550,219429328
2115852222,239662903
113019868,36383341
2825758,89700450
6751976,45538643
1402490796,52127432
34810801,247462237
31648793,155335833
4663433,211048597
2189698,222125022
144875680,222826426
1720743958,220772065
2375079,235074594
144696537,191680767
1996227547,222420218
50640469,7900692
5829428,237316329
87564156,128487683
14628552,212641146
2130557115,199819908
1765664,27270547
2146276189,209335699
93908682,99909081
1683477,17729510
13827435,235172099
71642289,227122767
113989321,188597569
87180325,198304874
5525637,196561263
101550364,166756952
2201563238,145974745
145840387,137174721
96212540,128805614
2145023670,127985451
2112148078,60604879
144078582,220284888
14009967,54130071
91451348,54634721
11335582,41359629
50881773,51708180
143959990,39514587
2075966197,45323370
32063425,45265900
46469909,43862558
50235872,43103677
6987170,42488828
6884428,22739462
152813486,20219770
5084088,19266356
34988849,37325739
145733916,36939482
2441301,31867302
143729117,32567775
6083076,12397688
38603713,9203179
3543853,3351464
71222037,35412301
7668722,52046489
8544214,233411911
145865732,199170917
