citation,paper,fake
253910327,219410769,0
252088527,219410769,0
245704099,219410769,0
238732501,219410769,0
235504363,219410769,0
232420539,232355224,0
232481864,24987797,0
220653837,24987797,0
211135320,24987797,0
210133143,24987797,0
25070184,24987797,0
30237709,24987797,0
30469375,2178047,0
838357,36606960,0
5178006,36606960,0
222170283,207393142,0
224824449,207393142,0
81141961,207393142,0
51891915,207393142,0
252559125,226193169,0
257391576,221076729,0
256055437,221076729,0
254843736,221076729,0
254618047,221076729,0
253733109,221076729,0
253733270,221076729,0
253599142,221076729,0
253260436,221076729,0
252871342,221076729,0
252160719,221076729,0
251759261,221076729,0
250968655,221076729,0
250030824,221076729,0
249137714,221076729,0
249216314,221076729,0
238217077,221076729,0
236944624,221076729,0
235786220,221076729,0
233036005,221076729,0
219756863,203609021,0
255801366,210934409,0
246424070,210934409,0
240538472,210934409,0
237555230,210934409,0
237649092,210934409,0
237854343,210934409,0
236275846,210934409,0
233954382,210934409,0
229310668,46711191,0
199541131,22238059,0
117244517,22238059,0
44335137,14154659,0
45797271,14151582,0
245978243,21990474,0
225106017,21990474,0
222310485,21990474,0
202124062,21990474,0
53235550,21990474,0
3357966,21990474,0
24075216,21990474,0
21768703,1237780,0
151007546,7211558,0
7606117,7211558,0
255594077,10241326,0
254106586,10241326,0
201804833,10241326,0
196661069,10241326,0
202074035,10241326,0
19123310,10241326,0
21922849,10241326,0
12213033,8160903,0
38205865,8160903,0
46328069,8160903,0
43255550,8160903,0
24716241,27794840,0
39932985,27351979,0
10391899,27351979,0
41014254,27351979,0
33544779,27393318,0
237771748,26043138,0
235302001,26043138,0
222155048,26043138,0
212664341,26043138,0
218679825,26043138,0
150075967,26043138,0
202554270,26043138,0
30736075,33402859,0
23892886,31929237,0
28249734,31001449,0
21797404,30640608,0
44589100,30640608,0
41592564,30640608,0
38940159,30640608,0
23655657,30640608,0
20865445,30640608,0
30773486,30640608,0
35090790,46393313,0
22947616,46393313,0
14107426,46393313,0
2820054,46393313,0
269641,46393313,0
250200391,215726754,0
247061312,215726754,0
233190458,215726754,0
230576868,215726754,0
229325758,215726754,0
219315083,215726754,0
25112359,215726754,0
254222970,195064109,0
247060790,195064109,0
238696291,195064109,0
199539829,23917679,0
147707615,23917679,0
244507978,14119063,0
219183295,14119063,0
214215024,14119063,0
199582604,14119063,0
70309317,14119063,0
69242822,14119063,0
44223300,14119063,0
10376612,14119063,0
16966041,14119063,0
17369646,45069334,0
57393911,29570261,0
418790,29570261,0
33924073,10650788,0
46042716,10650788,0
42493964,10650788,0
38116957,10650788,0
38277844,10650788,0
30198692,10650788,0
28108359,10650788,0
23691389,10650788,0
34557450,10650788,0
20271940,10650788,0
220335764,26500411,0
12676170,26500411,0
11650332,26500411,0
5741404,26500411,0
16229449,26500411,0
9767398,26500411,0
42602087,26500411,0
234225486,13292006,0
55046107,13292006,0
9461746,19262418,0
30036685,19262418,0
250503320,219106163,0
256617947,199538811,0
251032969,199538811,0
237280867,199538811,0
237434595,199538811,0
207937592,199538811,0
247382728,239662903,0
42741574,36383341,0
206312284,36383341,0
253317972,89700450,0
250731978,89700450,0
231899233,89700450,0
236657808,89700450,0
226951320,89700450,0
220877292,89700450,0
208035909,89700450,0
203606383,89700450,0
104330173,89700450,0
59224714,89700450,0
104447883,89700450,0
104840023,89700450,0
52969331,89700450,0
206120044,89700450,0
19385313,89700450,0
956590,45538643,0
250312573,52127432,0
247383739,52127432,0
227077222,52127432,0
214704490,52127432,0
253303782,247462237,0
248832365,247462237,0
248554191,247462237,0
246943066,155335833,0
218980655,155335833,0
210998487,155335833,0
207946925,155335833,0
248415456,211048597,0
246090176,211048597,0
221238120,211048597,0
239466779,222826426,0
233433006,222826426,0
231391456,222826426,0
256457958,220772065,0
255633001,220772065,0
247936955,220772065,0
247453478,220772065,0
247791077,220772065,0
235766779,220772065,0
245191708,220772065,0
245438579,220772065,0
235346691,220772065,0
237215206,220772065,0
232368960,220772065,0
232160763,220772065,0
244341175,220772065,0
227121487,220772065,0
226254927,220772065,0
257251800,235074594,0
256192520,235074594,0
253655112,235074594,0
253507109,235074594,0
252889171,235074594,0
249823166,235074594,0
248315043,235074594,0
247452269,235074594,0
247483720,235074594,0
246859309,235074594,0
237593703,235074594,0
247937360,222420218,0
210912377,7900692,0
58576718,7900692,0
35366931,7900692,0
30262275,7900692,0
412209,7900692,0
14525249,7900692,0
21642616,7900692,0
30676679,7900692,0
10846657,7900692,0
28995340,7900692,0
8889986,7900692,0
36080552,7900692,0
162482262,128487683,0
131367106,128487683,0
130284595,128487683,0
242173462,209335699,0
233197383,209335699,0
233197634,209335699,0
233198183,209335699,0
225205829,209335699,0
231848589,209335699,0
229373825,209335699,0
230617529,99909081,0
225324935,99909081,0
182144924,99909081,0
139380783,99909081,0
12790253,17729510,0
256231760,227122767,0
251286826,227122767,0
245955363,227122767,0
245132841,227122767,0
238943474,227122767,0
221861879,196561263,0
235472787,128805614,0
123240508,128805614,0
128755887,128805614,0
233960650,127985451,0
238091163,127985451,0
224844362,127985451,0
17103224,60604879,0
7680134,60604879,0
251553501,220284888,0
229720366,220284888,0
234683876,54130071,0
231911145,54130071,0
231653388,54130071,0
231590362,54130071,0
220435097,54130071,0
219702453,54130071,0
221504012,54634721,0
39099601,41359629,0
39604571,41359629,0
42813126,41359629,0
25795581,41359629,0
12882627,41359629,0
31094297,41359629,0
32742955,41359629,0
33653439,41359629,0
43322655,45265900,0
4446883,43862558,0
6805256,43862558,0
235240320,43103677,0
1088236,42488828,0
44638507,42488828,0
37134779,42488828,0
211063778,19266356,0
8691489,19266356,0
28918925,31867302,0
6952991,31867302,0
20488246,31867302,0
205221972,31867302,0
21253154,31867302,0
24758983,31867302,0
12545836,12397688,0
30757178,12397688,0
22186516,12397688,0
5664409,12397688,0
220373228,3351464,0
214535261,3351464,0
40320217,3351464,0
3357237,3351464,0
9564277,3351464,0
1121576,3351464,0
3346033,3351464,0
3337918,3351464,0
19115550,3351464,0
25851476,3351464,0
3334939,3351464,0
3376721,3351464,0
153314391,35412301,0
36198884,35412301,0
253332332,52046489,0
253120495,52046489,0
251654690,52046489,0
249434715,52046489,0
245707563,52046489,0
238354490,52046489,0
235709570,52046489,0
232142336,52046489,0
232159384,52046489,0
227255620,52046489,0
220407399,52046489,0
219919620,52046489,0
220372243,52046489,0
214719904,52046489,0
231594020,52046489,0
140317321,52046489,0
59250436,52046489,0
150798397,199170917,0
216504823,27363741,0
27672896,27363741,0
24606907,27363741,0
55824540,27363741,0
704350,27363741,0
22984400,27363741,0
9875256,43879678,0
221716819,15230445,0
221917805,15230445,0
198964698,15230445,0
56717528,15230445,0
160011378,15230445,0
255594512,226206381,0
250128503,226206381,0
239013326,226206381,0
237510271,226206381,0
252129288,245262544,0
255415365,245262544,0
253789520,245262544,0
247254450,203146651,0
246316065,203146651,0
244256742,203146651,0
238208066,203146651,0
237706680,203146651,0
237671599,203146651,0
237366476,203146651,0
236922023,203146651,0
208061624,88851991,0
202855158,88851991,0
57192956,88851991,0
92415536,88851991,0
90038888,88851991,0
196627526,88851991,0
222089394,10259438,0
22613333,10259438,0
13980768,10259438,0
30318639,10259438,0
231611382,204974622,0
57202,35391003,0
140602632,193005665,0
162627129,193005665,0
162396957,193005665,0
238773012,221841602,0
235676498,221841602,0
237080841,221841602,0
245569090,208417758,0
53077198,108442084,0
253859457,106409833,0
235722589,106409833,0
234031445,106409833,0
207844734,106409833,0
115600573,155184901,0
25933489,40700757,0
25950551,40700757,0
1193385,40700757,0
225126133,41093275,0
56149730,41093275,0
9358571,41093275,0
22757686,41093275,0
219620587,52930263,0
22766649,43193019,0
45786733,33450665,0
22209208,33450665,0
12156798,33335776,0
7109680,33335776,0
20105679,33335776,0
205524549,33335776,0
38444411,33335776,0
237835989,40916087,0
234400961,40916087,0
159333793,40916087,0
16245702,40916087,0
24706351,45088525,0
21960017,45088525,0
32773234,45088525,0
59944215,45088525,0
7365909,45088525,0
44671109,45088525,0
14665258,7642851,0
46058983,7642851,0
6478552,7642851,0
5700347,7642851,0
25182370,7642851,0
251664915,18750936,0
237967303,18750936,0
189817246,18750936,0
155103173,18750936,0
196527685,18750936,0
51706858,18750936,0
23708435,18750936,0
242508687,11776200,0
56717404,11776200,0
18636956,11776200,0
14479664,11776200,0
25623906,11776200,0
45253110,11776200,0
23104211,32242144,0
45568517,32242144,0
33616326,32242144,0
13349348,9255575,0
2033905,9255575,0
205488451,9255575,0
13797610,9255575,0
1120424,9255575,0
89154031,21958345,0
11232049,21958345,0
25857169,21958345,0
255778102,226568673,0
249137599,226568673,0
250004578,226568673,0
253629113,226568673,0
251030683,226568673,0
27338751,36951962,0
222237761,204815132,0
229720491,174808944,0
227239700,174808944,0
257389091,231909418,0
256964552,231909418,0
251936305,231909418,0
249869226,231909418,0
248695898,231909418,0
248695816,231909418,0
246032464,231909418,0
239025788,231909418,0
233425116,231909418,0
232766689,202558150,0
221307965,169295072,0
211689851,88489516,0
245947088,51622103,0
233716855,51622103,0
227168585,51622103,0
226964215,51622103,0
195871713,51622103,0
195880895,51622103,0
125341109,45959989,0
42351921,45959989,0
31889572,34798035,0
33966847,34798035,0
34233155,34798035,0
10102218,27998798,0
31961744,27998798,0
3096243,27998798,0
16200019,27998798,0
15067386,27998798,0
30391642,27998798,0
34585833,27998798,0
41012649,27998798,0
43804678,27998798,0
18199564,24366958,0
57375024,31144441,0
9488862,28833436,0
25428147,27416599,0
2433012,21968290,0
9783647,15202326,0
31316876,15202326,0
108371569,31965925,0
34802179,31965925,0
45243606,10279247,0
24544404,10279247,0
13907589,10279247,0
14418261,10279247,0
3282321,10279247,0
3271383,10279247,0
12984439,10279247,0
18349652,10279247,0
16166606,7814353,0
3484844,7686737,0
8143005,7686737,0
255597155,246751947,0
249018135,246751947,0
246431138,246751947,0
249064023,121369907,0
247152116,121369907,0
