paper,topic,fake
219410769,Psychology,0
225065627,Medicine,0
209854486,Computer Science,0
239681712,Political Science,0
214506937,Computer Science,0
232355224,Medicine,0
24987797,Medicine,0
215948829,Computer Science,0
2178047,Computer Science,0
36606960,Medicine,0
207393142,Medicine,0
226193169,Medicine,0
221076729,Medicine,0
203609021,Chemistry,0
210934409,Medicine,0
85151175,Biology,0
75791365,Medicine,0
237561766,Business,0
46711191,Engineering,0
52298978,Sociology,0
22238059,Computer Science,0
14154659,Computer Science,0
14151582,Computer Science,0
21990474,Medicine,0
19653587,Medicine,0
19904885,Medicine,0
1237780,Computer Science,0
19966672,Materials Science,0
7211558,Medicine,0
10241326,Medicine,0
8160903,Medicine,0
238814041,Physics,0
201836678,Medicine,0
27794840,Medicine,0
27667270,Biology,0
27588600,Medicine,0
27351979,Medicine,0
27393318,Computer Science,0
26043138,Medicine,0
33402859,Medicine,0
31929237,Medicine,0
31001449,Medicine,0
30640608,Chemistry,0
30333216,Psychology,0
28679281,Medicine,0
46393313,Medicine,0
25632366,Medicine,0
215726754,Medicine,0
195064109,Medicine,0
23917679,Medicine,0
14119063,Computer Science,0
159373645,Political Science,0
4733413,Medicine,0
45069334,Computer Science,0
29570261,Medicine,0
214338841,Art,0
3174114,Medicine,0
33126243,Medicine,0
201968370,Medicine,0
10650788,Medicine,0
26354945,Medicine,0
41273089,Medicine,0
232058337,Medicine,0
39213875,Medicine,0
26500411,Medicine,0
39636218,Medicine,0
6492721,Medicine,0
29223630,Medicine,0
13292006,Physics,0
37357946,Medicine,0
21567508,Medicine,0
19262418,Medicine,0
219106163,Medicine,0
199538811,Medicine,0
1881617,Medicine,0
219429328,Materials Science,0
239662903,Computer Science,0
36383341,Medicine,0
89700450,Chemistry,0
45538643,Medicine,0
52127432,Medicine,0
247462237,Medicine,0
155335833,Geography,0
211048597,Medicine,0
222125022,Computer Science,0
222826426,Chemistry,0
220772065,Medicine,0
235074594,Medicine,0
191680767,Art,0
222420218,Chemistry,0
7900692,Chemistry,0
237316329,Medicine,0
128487683,Geology,0
212641146,Medicine,0
199819908,Political Science,0
27270547,Computer Science,0
209335699,Computer Science,0
99909081,Materials Science,0
17729510,Computer Science,0
235172099,Medicine,0
227122767,Computer Science,0
188597569,Geography,0
198304874,Biology,0
196561263,Medicine,0
166756952,History,0
145974745,Computer Science,0
137174721,Materials Science,0
128805614,Engineering,0
127985451,Computer Science,0
60604879,Computer Science,0
220284888,Medicine,0
54130071,Medicine,0
54634721,Chemistry,0
41359629,Medicine,0
51708180,Medicine,0
39514587,Medicine,0
45323370,Medicine,0
45265900,Medicine,0
43862558,Biology,0
43103677,Computer Science,0
42488828,Medicine,0
22739462,Medicine,0
20219770,Medicine,0
19266356,Medicine,0
37325739,Medicine,0
36939482,History,0
31867302,Medicine,0
32567775,Medicine,0
12397688,Medicine,0
9203179,Medicine,0
3351464,Medicine,0
35412301,Medicine,0
52046489,Chemistry,0
233411911,Medicine,0
199170917,Psychology,0
27363741,Medicine,0
21211324,Medicine,0
27294992,Medicine,0
39405744,Medicine,0
43879678,Medicine,0
15230445,Computer Science,0
208539234,Medicine,0
226206381,Medicine,0
247978207,Medicine,0
245262544,Medicine,0
203146651,Computer Science,0
118090602,Philosophy,0
88851991,Biology,0
10259438,Medicine,0
31481304,Medicine,0
159359677,Computer Science,0
248007137,Computer Science,0
228090999,Environmental Science,0
204974622,Medicine,0
37706008,Biology,0
35391003,Medicine,0
193005665,Art,0
244179662,Political Science,0
51697813,Medicine,0
221841602,Medicine,0
208417758,Medicine,0
138590342,Medicine,0
148830796,Geography,0
145015296,Political Science,0
108442084,Engineering,0
106409833,Psychology,0
155184901,Political Science,0
40700757,Medicine,0
41093275,Psychology,0
52930263,Medicine,0
43193019,Chemistry,0
33450665,Engineering,0
33335776,Biology,0
43674476,Medicine,0
37107474,Medicine,0
208476742,Medicine,0
40916087,Medicine,0
45088525,Medicine,0
7642851,Computer Science,0
18750936,Medicine,0
11776200,Computer Science,0
29525208,Medicine,0
32242144,Medicine,0
9255575,Biology,0
21958345,Biology,0
226568673,Computer Science,0
201659195,Medicine,0
36951962,Medicine,0
203140153,Physics,0
110258390,Engineering,0
195567322,Physics,0
204674650,Computer Science,0
204815132,Chemistry,0
209984128,Mathematics,0
22767060,Computer Science,0
4202272,Physics,0
216842836,Political Science,0
218758929,Medicine,0
174808944,Medicine,0
231909418,Medicine,0
202558150,Geology,0
169295072,Geography,0
157009073,Economics,0
152212622,Political Science,0
150572129,Sociology,0
149551550,Physics,0
195668045,Medicine,0
88489516,Computer Science,0
58157243,Medicine,0
51622103,Medicine,0
39901868,Computer Science,0
45874898,Medicine,0
45959989,Medicine,0
45418390,Medicine,0
34798035,Chemistry,0
26213783,Engineering,0
27998798,Medicine,0
24366958,Mathematics,0
31144441,Computer Science,0
28833436,Medicine,0
27416599,Chemistry,0
21968290,Medicine,0
15202326,Materials Science,0
31870621,Medicine,0
31965925,Computer Science,0
10279247,Computer Science,0
9268565,Mathematics,0
8909945,Computer Science,0
7793073,Mathematics,0
7814353,Computer Science,0
7686737,Medicine,0
246751947,Computer Science,0
2206322,Computer Science,0
106387342,Geology,0
121369907,Medicine,0
9136093,Physics,0
10855959,Medicine,0
26663736,Psychology,0
34668598,Medicine,0
25267949,Chemistry,0
238237900,Medicine,0
26455021,Medicine,0
41067012,Medicine,0
35182700,Medicine,0
28884693,Medicine,0
56595797,Computer Science,0
128616345,Engineering,0
33648833,Medicine,0
12985345,Medicine,0
37762556,Medicine,0
9775560,Medicine,0
40223750,Medicine,0
3870352,Medicine,0
190876026,Biology,0
34352739,Medicine,0
32393490,Engineering,0
231653918,Medicine,0
28288333,Medicine,0
7177140,Medicine,0
5124913,Medicine,0
34285548,Medicine,0
23374425,Medicine,0
232775139,Medicine,0
158118888,Psychology,0
245518847,Medicine,0
140560471,Geology,0
146084461,Medicine,0
126074967,Physics,0
119451691,Engineering,0
133940359,Environmental Science,0
24215794,Medicine,0
22054668,Medicine,0
21556568,Medicine,0
30959469,Environmental Science,0
28995877,Medicine,0
29099675,Medicine,0
39405780,Medicine,0
36618621,Medicine,0
35789250,Medicine,0
33939345,Computer Science,0
36949242,Medicine,0
33280108,Medicine,0
53754215,Medicine,0
52959866,Computer Science,0
46122191,Medicine,0
43226706,Medicine,0
43084157,Medicine,0
7734206,Medicine,0
4023837,Medicine,0
228091887,Computer Science,0
1959962,Computer Science,0
2893001,Medicine,0
52236,Medicine,0
41283643,Medicine,0
20019491,Medicine,0
203314113,Business,0
31192497,Medicine,0
41941337,Medicine,0
20987464,Medicine,0
27717248,Medicine,0
42334854,Medicine,0
33749822,Medicine,0
21324677,Medicine,0
36570610,Medicine,0
171093222,Medicine,0
171638109,Philosophy,0
2862006,Medicine,0
210446996,Sociology,0
19915136,Medicine,0
29482050,Medicine,0
29928409,Medicine,0
47241850,Medicine,0
12381009,Medicine,0
20318492,Medicine,0
33161957,Medicine,0
40801496,Medicine,0
19712056,Medicine,0
92016870,Chemistry,0
11162827,Computer Science,0
3719283,Medicine,0
3259833,Computer Science,0
11233192,Medicine,0
44411002,Medicine,0
39956739,Medicine,0
226597978,Art,0
43765335,Medicine,0
247201725,Medicine,0
38928357,Chemistry,0
229315875,Sociology,0
32587045,Medicine,0
35756371,Medicine,0
229316643,Medicine,0
125627816,Physics,0
209930408,Computer Science,0
89664903,Chemistry,0
247812440,Computer Science,0
16923867,Medicine,0
14130261,Computer Science,0
16769709,Medicine,0
38793640,Medicine,0
235776716,Medicine,0
248323262,Medicine,0
139824664,Physics,0
248241782,Medicine,0
34709563,Medicine,0
39153326,Medicine,0
12972658,Computer Science,0
238736140,Physics,0
225538939,Computer Science,0
240966803,Medicine,0
205688512,Medicine,0
182046380,Medicine,0
189352130,Sociology,0
127409870,Mathematics,0
43747534,Mathematics,0
224780615,Medicine,0
159329194,Economics,0
235078040,Medicine,0
174810886,Medicine,0
219284399,Medicine,0
236163417,Medicine,0
231304001,Medicine,0
215795686,Medicine,0
210386448,Psychology,0
207224331,Chemistry,0
206371319,Computer Science,0
196515775,Medicine,0
159090289,Political Science,0
161478975,History,0
192030515,Art,0
119120736,Mathematics,0
81056749,Medicine,0
26375831,Medicine,0
25697451,Medicine,0
39287782,Business,0
39525934,Medicine,0
36635909,Computer Science,0
35846680,Medicine,0
15962009,Medicine,0
224321528,Medicine,0
214051689,Business,0
232317560,Engineering,0
237798170,Sociology,0
244320925,Computer Science,0
199436237,Medicine,0
8933057,Medicine,0
235453436,Medicine,0
198572865,Computer Science,0
206388255,Medicine,0
138373567,Materials Science,0
203707256,Computer Science,0
203425160,Psychology,0
163014451,History,0
120097159,Engineering,0
144519414,Sociology,0
53209099,Medicine,0
38558135,Computer Science,0
37833793,Medicine,0
31765041,Medicine,0
27714189,Medicine,0
27952809,Medicine,0
24906786,Medicine,0
25060548,Medicine,0
56142888,Medicine,0
67800761,Engineering,0
23358070,Economics,0
13024712,Medicine,0
8473583,Medicine,0
8343733,Computer Science,0
21480715,Medicine,0
15258551,Mathematics,0
5588860,Medicine,0
3584180,Medicine,0
9919588,Computer Science,0
199506022,Medicine,0
182349229,Medicine,0
32550384,Computer Science,0
40926978,Medicine,0
5505652,Medicine,0
45050611,Medicine,0
42715210,Medicine,0
42754104,Medicine,0
40536084,Medicine,0
34638400,Medicine,0
36528687,Medicine,0
13153479,Medicine,0
44866314,Medicine,0
46871649,Medicine,0
29408403,Medicine,0
34848896,Medicine,0
41965752,Medicine,0
33439376,Medicine,0
46362312,Medicine,0
22184813,Biology,0
34438283,Medicine,0
7879993,Medicine,0
2657248,Medicine,0
244172041,Medicine,0
211389658,Political Science,0
195072458,Medicine,0
34896733,Medicine,0
14300502,Computer Science,0
163089792,History,0
31308173,Medicine,0
27458047,Medicine,0
28204603,Medicine,0
20552089,Medicine,0
31103485,Medicine,0
28697374,Medicine,0
202495992,Psychology,0
207260207,Medicine,0
135924033,Materials Science,0
125360921,Computer Science,0
231963716,Medicine,0
87257026,Medicine,0
9983364,Medicine,0
233655054,Business,0
211246722,Medicine,0
5959144,Medicine,0
30133430,Medicine,0
238658055,Environmental Science,0
231768909,Medicine,0
237885762,Environmental Science,0
248305432,Medicine,0
196560935,Art,0
237713064,History,0
211749987,Business,0
204821709,Computer Science,0
149685384,Political Science,0
116801239,Mathematics,0
20573135,Medicine,0
45556903,Medicine,0
211829718,Computer Science,0
234793988,Medicine,0
214762259,Computer Science,0
237849655,Computer Science,0
159758061,History,0
158441593,Business,0
129718750,Engineering,0
72108866,Medicine,0
41569710,Medicine,0
45540835,Computer Science,0
38646717,Medicine,0
44021710,Materials Science,0
43274936,Medicine,0
33306470,Medicine,0
31451413,Medicine,0
51634824,Engineering,0
27701714,Medicine,0
33978441,Materials Science,0
30894280,Medicine,0
22706509,Materials Science,0
246418066,Medicine,0
204756383,Psychology,0
39907764,Computer Science,0
36413452,Medicine,0
245829308,Medicine,0
190907345,Medicine,0
220258120,Medicine,0
