conference,edition,fake
976927f9-0db0-4946-925d-d113880b67d9,976927f9-0db0-4946-925d-d113880b67d9-2002,0
e2716c6a-50f4-4a85-be07-a76de507f09a,e2716c6a-50f4-4a85-be07-a76de507f09a-2013,0
0d6f7fba-7092-46b3-8039-93458dba736b,0d6f7fba-7092-46b3-8039-93458dba736b-2012,0
047958df-6384-459e-9864-63f946419551,047958df-6384-459e-9864-63f946419551-2011,0
413493e7-4bb6-4c68-a57a-e21b1b3ca448,413493e7-4bb6-4c68-a57a-e21b1b3ca448-2012,0
74f47cf8-2839-4a56-959a-524dd0ed9e3e,74f47cf8-2839-4a56-959a-524dd0ed9e3e-2020,0
b4e3823a-0399-4dd3-9c4a-4d71630488df,b4e3823a-0399-4dd3-9c4a-4d71630488df-2020,0
17ecab6f-bba8-484c-9b36-cc71dc7a175b,17ecab6f-bba8-484c-9b36-cc71dc7a175b-2017,0
389baf23-24d6-4f4c-9bcf-dd4978cd3300,389baf23-24d6-4f4c-9bcf-dd4978cd3300-2016,0
19c9d8a8-b9f5-4275-a286-b15c3cb80469,19c9d8a8-b9f5-4275-a286-b15c3cb80469-2011,0
ecd69639-52a0-4d29-af57-21bca9e0a66b,ecd69639-52a0-4d29-af57-21bca9e0a66b-2015,0
5758d639-a450-4152-901d-7a78c8715aa7,5758d639-a450-4152-901d-7a78c8715aa7-2016,0
12b0a7ac-61a5-4dcf-9931-dab24274efd6,12b0a7ac-61a5-4dcf-9931-dab24274efd6-2016,0
7d86a21c-1dd2-4146-aeab-3141cc7815e3,7d86a21c-1dd2-4146-aeab-3141cc7815e3-2006,0
85ac2dda-27ce-4f18-826f-69d0d3fff930,85ac2dda-27ce-4f18-826f-69d0d3fff930-2015,0
27235614-bd3e-4d6b-be38-5ede18f4e209,27235614-bd3e-4d6b-be38-5ede18f4e209-2005,0
7cd7bf33-3c9a-4b3f-8b1a-177673c6ca73,7cd7bf33-3c9a-4b3f-8b1a-177673c6ca73-2022,0
bb98fed4-e9e4-4965-b243-1d16d18a0563,bb98fed4-e9e4-4965-b243-1d16d18a0563-2015,0
81c5e45b-d772-4e7f-a002-0c71f6116711,81c5e45b-d772-4e7f-a002-0c71f6116711-2011,0
66c268f7-ba60-443f-919d-e2c297910401,66c268f7-ba60-443f-919d-e2c297910401-2016,0
0cb0dcea-43f4-4a34-a1c3-ac211434f660,0cb0dcea-43f4-4a34-a1c3-ac211434f660-2018,0
090b9c90-a659-4e83-90ee-b8d3a161b54c,090b9c90-a659-4e83-90ee-b8d3a161b54c-2020,0
67dfdc53-52cf-4e84-b715-f0ca5ae101e4,67dfdc53-52cf-4e84-b715-f0ca5ae101e4-2013,0
46295b89-eb4d-4213-a4ae-68a47f6403c7,46295b89-eb4d-4213-a4ae-68a47f6403c7-2011,0
928408eb-2c75-46dd-aef8-aa720f6b0352,928408eb-2c75-46dd-aef8-aa720f6b0352-2009,0
72b1619c-55d6-4f98-9218-23cd8aa74091,72b1619c-55d6-4f98-9218-23cd8aa74091-2020,0
78207ed9-9170-48c0-bbaf-1cb3f7d8cbef,78207ed9-9170-48c0-bbaf-1cb3f7d8cbef-2015,0
c5ccb785-bfaa-4628-b7e1-f3c6e2fc6873,c5ccb785-bfaa-4628-b7e1-f3c6e2fc6873-1984,0
63d1595c-87bf-4fd8-be2e-327f299cb9ea,63d1595c-87bf-4fd8-be2e-327f299cb9ea-2012,0
31398d01-dd1c-4fa8-9187-fceebb1b92df,31398d01-dd1c-4fa8-9187-fceebb1b92df-1994,0
5c59f7cc-7cc2-41c0-a3ee-6057c3585e56,5c59f7cc-7cc2-41c0-a3ee-6057c3585e56-2019,0
b32573c9-8800-452e-b831-cd0b0841c06f,b32573c9-8800-452e-b831-cd0b0841c06f-2020,0
d8b3e9a5-7aa4-4217-ad6e-315e5c5a143d,d8b3e9a5-7aa4-4217-ad6e-315e5c5a143d-2017,0
6b02ad46-b24c-433e-a1d9-f736517de248,6b02ad46-b24c-433e-a1d9-f736517de248-2009,0
c2afe73a-c250-443a-bc99-fefdfeb5df5f,c2afe73a-c250-443a-bc99-fefdfeb5df5f-2017,0
ca8e29a4-b8d6-469e-a148-2156149cddfb,ca8e29a4-b8d6-469e-a148-2156149cddfb-2006,0
e3b1672f-7753-4ca1-8a8b-586d2b4392ba,e3b1672f-7753-4ca1-8a8b-586d2b4392ba-2020,0
35f2d652-9310-4864-8080-f431035f28b3,35f2d652-9310-4864-8080-f431035f28b3-2019,0
22af107a-3e64-455e-92c6-82141a5a7e6a,22af107a-3e64-455e-92c6-82141a5a7e6a-2014,0
764e3630-ddac-4c21-af4b-9d32ffef082e,764e3630-ddac-4c21-af4b-9d32ffef082e-2013,0
40b6851a-3f16-4037-b11b-e188a93ad1d9,40b6851a-3f16-4037-b11b-e188a93ad1d9-2013,0
443b907e-306a-41c3-bca4-b35f1da4bb38,443b907e-306a-41c3-bca4-b35f1da4bb38-2017,0
d9720b90-d60b-48bc-9df8-87a30b9a60dd,d9720b90-d60b-48bc-9df8-87a30b9a60dd-2021,0
72a6d50c-86ae-47c7-9a0e-54e5746aacee,72a6d50c-86ae-47c7-9a0e-54e5746aacee-2020,0
5969addc-93c3-480f-bdf0-9a4ae0011cdc,5969addc-93c3-480f-bdf0-9a4ae0011cdc-2021,0
3f2626a8-9d78-42ca-9e0d-4b853b59cdcc,3f2626a8-9d78-42ca-9e0d-4b853b59cdcc-2003,0
3dbf084c-ef47-4b74-9919-047b40704538,3dbf084c-ef47-4b74-9919-047b40704538-2021,0
9ec28b59-afd2-4d10-9a97-44d984123c30,9ec28b59-afd2-4d10-9a97-44d984123c30-2020,0
b63861a6-ab0a-47a4-9f6c-accf03b5a180,b63861a6-ab0a-47a4-9f6c-accf03b5a180-2019,0
a04aa735-dc34-4b29-a70b-2cc395c25173,a04aa735-dc34-4b29-a70b-2cc395c25173-2018,0
932f8c16-64c0-4af8-a2d6-a549264c976f,932f8c16-64c0-4af8-a2d6-a549264c976f-2018,0
0abc814b-4b33-4afd-bb15-61351136028f,0abc814b-4b33-4afd-bb15-61351136028f-2014,0
9039088a-b047-49bc-b12a-3334017ad93d,9039088a-b047-49bc-b12a-3334017ad93d-2013,0
b9411e3b-428a-4b51-b8a5-32698548f583,b9411e3b-428a-4b51-b8a5-32698548f583-2009,0
ab066af1-bfee-42da-84bb-42f7e199d0d0,ab066af1-bfee-42da-84bb-42f7e199d0d0-2014,0
e84bb5a1-8f79-42cc-8eb1-3a52f7c73d63,e84bb5a1-8f79-42cc-8eb1-3a52f7c73d63-2022,0
8ae277fb-3346-4eab-9e31-c719d1d8bb3f,8ae277fb-3346-4eab-9e31-c719d1d8bb3f-2016,0
61d8580e-d1fe-40b8-91de-be06508ce120,61d8580e-d1fe-40b8-91de-be06508ce120-2017,0
c6ced65d-fcf7-4e5f-bedd-01360247ebbe,c6ced65d-fcf7-4e5f-bedd-01360247ebbe-2013,0
27235614-bd3e-4d6b-be38-5ede18f4e209,27235614-bd3e-4d6b-be38-5ede18f4e209-2013,0
966ed49f-abb2-4051-a7e7-c966d9426b85,966ed49f-abb2-4051-a7e7-c966d9426b85-2012,0
df9f7819-abf5-46f8-b6a8-6bd3261a21a5,df9f7819-abf5-46f8-b6a8-6bd3261a21a5-2011,0
0e129215-7c25-46c9-b04b-a0e9faabf021,0e129215-7c25-46c9-b04b-a0e9faabf021-2011,0
b189dec0-41d0-4cea-a906-7c5186895904,b189dec0-41d0-4cea-a906-7c5186895904-2022,0
7431ff67-91dc-41fa-b322-1b1ca657025f,7431ff67-91dc-41fa-b322-1b1ca657025f-2022,0
448309f5-4fdc-4a7a-99bf-2b8f0004cee1,448309f5-4fdc-4a7a-99bf-2b8f0004cee1-2015,0
047958df-6384-459e-9864-63f946419551,047958df-6384-459e-9864-63f946419551-2011,1
090b9c90-a659-4e83-90ee-b8d3a161b54c,090b9c90-a659-4e83-90ee-b8d3a161b54c-2020,1
0abc814b-4b33-4afd-bb15-61351136028f,0abc814b-4b33-4afd-bb15-61351136028f-2014,1
0cb0dcea-43f4-4a34-a1c3-ac211434f660,0cb0dcea-43f4-4a34-a1c3-ac211434f660-2018,1
0d6f7fba-7092-46b3-8039-93458dba736b,0d6f7fba-7092-46b3-8039-93458dba736b-2012,1
0e129215-7c25-46c9-b04b-a0e9faabf021,0e129215-7c25-46c9-b04b-a0e9faabf021-2011,1
12b0a7ac-61a5-4dcf-9931-dab24274efd6,12b0a7ac-61a5-4dcf-9931-dab24274efd6-2016,1
17ecab6f-bba8-484c-9b36-cc71dc7a175b,17ecab6f-bba8-484c-9b36-cc71dc7a175b-2017,1
19c9d8a8-b9f5-4275-a286-b15c3cb80469,19c9d8a8-b9f5-4275-a286-b15c3cb80469-2011,1
22af107a-3e64-455e-92c6-82141a5a7e6a,22af107a-3e64-455e-92c6-82141a5a7e6a-2014,1
27235614-bd3e-4d6b-be38-5ede18f4e209,27235614-bd3e-4d6b-be38-5ede18f4e209-2005,1
27235614-bd3e-4d6b-be38-5ede18f4e209,27235614-bd3e-4d6b-be38-5ede18f4e209-2013,1
31398d01-dd1c-4fa8-9187-fceebb1b92df,31398d01-dd1c-4fa8-9187-fceebb1b92df-1994,1
35f2d652-9310-4864-8080-f431035f28b3,35f2d652-9310-4864-8080-f431035f28b3-2019,1
389baf23-24d6-4f4c-9bcf-dd4978cd3300,389baf23-24d6-4f4c-9bcf-dd4978cd3300-2016,1
3dbf084c-ef47-4b74-9919-047b40704538,3dbf084c-ef47-4b74-9919-047b40704538-2021,1
3f2626a8-9d78-42ca-9e0d-4b853b59cdcc,3f2626a8-9d78-42ca-9e0d-4b853b59cdcc-2003,1
40b6851a-3f16-4037-b11b-e188a93ad1d9,40b6851a-3f16-4037-b11b-e188a93ad1d9-2013,1
413493e7-4bb6-4c68-a57a-e21b1b3ca448,413493e7-4bb6-4c68-a57a-e21b1b3ca448-2012,1
443b907e-306a-41c3-bca4-b35f1da4bb38,443b907e-306a-41c3-bca4-b35f1da4bb38-2017,1
448309f5-4fdc-4a7a-99bf-2b8f0004cee1,448309f5-4fdc-4a7a-99bf-2b8f0004cee1-2015,1
46295b89-eb4d-4213-a4ae-68a47f6403c7,46295b89-eb4d-4213-a4ae-68a47f6403c7-2011,1
5758d639-a450-4152-901d-7a78c8715aa7,5758d639-a450-4152-901d-7a78c8715aa7-2016,1
5969addc-93c3-480f-bdf0-9a4ae0011cdc,5969addc-93c3-480f-bdf0-9a4ae0011cdc-2021,1
5c59f7cc-7cc2-41c0-a3ee-6057c3585e56,5c59f7cc-7cc2-41c0-a3ee-6057c3585e56-2019,1
61d8580e-d1fe-40b8-91de-be06508ce120,61d8580e-d1fe-40b8-91de-be06508ce120-2017,1
