id,name,url,issn
52df9a54-6cc3-4685-9826-f6ba927def1a,Nepalese journal of ophthalmology : a biannual peer-reviewed academic journal of the Nepal Ophthalmic Society : NEPJOPH,https://www.nepjol.info/index.php/NEPJOPH,2072-6805
9f840236-aa46-478e-98fe-68a1fe8b823e,Regenerative medicine,https://www.liebertpub.com/ebi/,1524-0142
b6b26b43-2fef-41ad-98b9-af7ba33afa6b,Journal of the Medical Association of Thailand = Chotmaihet thangphaet,,0125-2208
910f05b9-f423-44fc-9fc1-c6b3d2481fe0,Journal of Foot and Ankle Research,http://www.jfootankleres.com/,1757-1146
137df871-0be4-4ea4-9f85-52b2b36070a3,Journal of the American Dental Association,http://www.sciencedirect.com/science/journal/00028177,0002-8177
f99f77b7-b1b6-44d3-984a-f288e9884b9b,Scientific Reports,http://www.nature.com/srep/,2045-2322
b5d743df-8523-464c-a1f4-10ead6be30a6,Yeungnam University Journal of Medicine,http://yujm.yu.ac.kr/,1225-7737
8f99db2e-5ab5-462f-829a-8eeced9b7be1,Journal of chromatography. A,http://www.elsevier.com/locate/chroma,0021-9673
ed779cb8-b256-4933-85c7-2ca9868bb58b,Journal of environmental management,http://www.elsevier.com/wps/find/journaldescription.cws_home/622871/description#description,0301-4797
5fb10eaf-a09b-4e33-a397-37d9210767e5,Journal of Experimental Biology,https://jeb.biologists.org/,0022-0949
552d0a68-9aa4-4518-b8c4-666b3d9e0fef,Journal of Acquired Immune Deficiency Syndromes (1999),http://ovidsp.ovid.com/ovidweb.cgi?T=JS&amp;AN=00126334-000000000-00000&amp;CSC=Y&amp;D=ovft&amp;NEWS=n&amp;PAGE=toc,0894-9255
cf33e1f1-4e08-40d3-89b4-ca4ff2b66125,Journal of Management and Humanity Research,,2582-7766
22fa9d61-53c5-41ed-9de0-f4d601bc7347,Journal of Pastoral Care & Counseling,http://journals.sfu.ca/jpcp/index.php/jpcp,1542-3050
7946ed64-b41c-474b-bcba-636664f5df02,The FEBS Journal,http://www.blackwell-synergy.com/servlet/useragent?code=ejb&func=showIssues,1742-464X
dde2f643-6f46-48ec-82a6-6f398b3b0d0b,IEEE Communications Letters,http://www.comsoc.org/CL,1089-7798
f498f529-8b18-4bdb-93a9-f3123a14a833,Psychiatria polska,http://www.psychiatriapolska.pl/,0033-2674
18bd75fb-03db-4a15-ba44-fe2fecdef51b,Bulletin of Environmental Contamination and Toxicology,https://link.springer.com/journal/128,0007-4861
3687d0a0-e583-4c86-b239-50d545661574,Diseases of the Colon & Rectum,https://journals.lww.com/dcrjournal/pages/default.aspx,0012-3706
70cd7ad3-6635-4b16-8dce-7ef15977ebdb,Optics and Photonics Journal,https://www.scirp.org/journal/opj/,2160-8881
3e924bb0-3731-4d92-9423-2cc0388e6d82,Zhonghua yi xue za zhi,http://zhyxzz.yiigle.com/,0376-2491
3c26139d-3b45-4ab8-97d3-059246312705,Polar Biology,https://www.springer.com/life+sciences/ecology/journal/300,0722-4060
8e374fd7-664a-498f-9dc8-f0e1a9f358dd,Minerva medica,,0026-4806
d1d486ec-2c87-4721-8bca-f399625d18e5,Archives of biochemistry and biophysics,http://www.elsevier.com/locate/yabbi,0003-9861
db54ab8b-cf08-4de6-b69a-0fae0f4ab997,Poultry Science,https://www.journals.elsevier.com/poultry-science,0032-5791
e8ed6f59-efdb-4516-96f6-7b427c9f1c21,Revista espanola de cardiologia,https://www.revespcardiol.org/,0300-8932
e1c5dcc4-7454-4f13-be9e-d45ac7c88ba7,Clinical Nuclear Medicine,https://journals.lww.com/nuclearmed,0363-9762
6ae5af1a-c876-4790-a0a9-2a319cc86eea,Arzneimittel-Forschung,https://www.thieme.de/de/arzneimittelforschung-drug-research/journal-information-4521.htm,0004-4172
98dbdba6-7038-4051-a96c-357ab826ee7a,Perspectives in Biology and Medicine,https://muse.jhu.edu/journal/152,0031-5982
396750b3-c753-4765-b283-ca20a4ddd616,Neurosurgery,http://www.neurosurgery-online.com/,0148-396X
9eee5892-5ec1-43c5-8b55-447ccd2ea709,Health Physics,http://www.health-physics.com/,0017-9078
900c81e6-225b-4082-ab9f-6ce96de83f5d,Nan fang yi ke da xue xue bao = Journal of Southern Medical University,,1673-4254
027ffd21-ebb0-4af8-baf5-911124292fd0,Molecular Medicine,http://biorxiv.org/,
fc42e269-2a82-46d5-9175-2fd5bba88d78,The European Journal of Health Economics,https://link.springer.com/journal/10198,1618-7598
346d37c6-8ac8-4510-9273-a445b61e92dd,Oncology,https://www.karger.com/Journal/Home/223857,0030-2414
befe79e7-4edb-4281-9c6b-d16dbe123330,Edinburgh Medical Journal,http://opacplus.bsb-muenchen.de/title/414086-2,0367-1038
4c1bc8cf-5a6c-4b67-8d4a-dbc2ce7a06ae,Clinical Endocrinology,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2265,0300-0664
9748b6b2-3e9d-4c15-a9ec-f42ac7fe320a,Canadian hospital,,0008-3798
7d24457b-a218-444c-841d-15d85c81040d,Przeglad lekarski,http://www.wple.net/plek/przeglad_lekarski.htm,0033-2240
