corpusid,authors,publicationvenueid,year
219410769,"[{'authorId': '7265495', 'url': 'https://www.semanticscholar.org/author/7265495', 'name': 'James C. Petrovich', 'affiliations': [], 'homepage': None, 'paperCount': 26, 'citationCount': 157, 'hIndex': 9}, {'authorId': '40861575', 'url': 'https://www.semanticscholar.org/author/40861575', 'name': 'Mary K. Twis', 'affiliations': [], 'homepage': None, 'paperCount': 23, 'citationCount': 101, 'hIndex': 6}, {'authorId': '2073784912', 'url': 'https://www.semanticscholar.org/author/2073784912', 'name': 'S. Evans', 'affiliations': [], 'homepage': None, 'paperCount': 5, 'citationCount': 15, 'hIndex': 3}]",,2020
225065627,"[{'authorId': '6880566', 'url': 'https://www.semanticscholar.org/author/6880566', 'name': 'A. Manandhar', 'affiliations': [], 'homepage': None, 'paperCount': 24, 'citationCount': 147, 'hIndex': 7}]",52df9a54-6cc3-4685-9826-f6ba927def1a,2020
209854486,"[{'authorId': '51139589', 'url': 'https://www.semanticscholar.org/author/51139589', 'name': 'T. Ledeneva', 'affiliations': [], 'homepage': None, 'paperCount': 19, 'citationCount': 27, 'hIndex': 4}]",cccf07c4-330a-4c98-9bf0-6155373ae7ca,2019
239681712,"[{'authorId': '123066510', 'url': 'https://www.semanticscholar.org/author/123066510', 'name': 'J. Kolbuszewski', 'affiliations': [], 'homepage': None, 'paperCount': 44, 'citationCount': 6, 'hIndex': 1}]",,2021
214506937,"[{'authorId': '1471169735', 'url': 'https://www.semanticscholar.org/author/1471169735', 'name': 'Regine M. Gilbert', 'affiliations': [], 'homepage': None, 'paperCount': 11, 'citationCount': 12, 'hIndex': 1}]",,2019
232355224,"[{'authorId': '15286113', 'url': 'https://www.semanticscholar.org/author/15286113', 'name': 'N. Medcalf', 'affiliations': [], 'homepage': None, 'paperCount': 55, 'citationCount': 554, 'hIndex': 15}]",9f840236-aa46-478e-98fe-68a1fe8b823e,2021
24987797,"[{'authorId': '6539599', 'url': 'https://www.semanticscholar.org/author/6539599', 'name': 'P. Srisan', 'affiliations': [], 'homepage': None, 'paperCount': 13, 'citationCount': 501, 'hIndex': 8}, {'authorId': '11389934', 'url': 'https://www.semanticscholar.org/author/11389934', 'name': 'Sangravee Juhong', 'affiliations': [], 'homepage': None, 'paperCount': 1, 'citationCount': 10, 'hIndex': 1}, {'authorId': '14448741', 'url': 'https://www.semanticscholar.org/author/14448741', 'name': 'W. Kanjanapatanakul', 'affiliations': [], 'homepage': None, 'paperCount': 4, 'citationCount': 45, 'hIndex': 2}]",b6b26b43-2fef-41ad-98b9-af7ba33afa6b,2014
215948829,"[{'authorId': '31042456', 'url': 'https://www.semanticscholar.org/author/31042456', 'name': 'Abubakar Sharif', 'affiliations': [], 'homepage': None, 'paperCount': 50, 'citationCount': 352, 'hIndex': 11}, {'authorId': '144454648', 'url': 'https://www.semanticscholar.org/author/144454648', 'name': 'J. Ouyang', 'affiliations': [], 'homepage': None, 'paperCount': 115, 'citationCount': 1129, 'hIndex': 19}, {'authorId': '144934529', 'url': 'https://www.semanticscholar.org/author/144934529', 'name': 'K. Arshad', 'affiliations': [], 'homepage': None, 'paperCount': 139, 'citationCount': 1610, 'hIndex': 19}, {'authorId': '153338022', 'url': 'https://www.semanticscholar.org/author/153338022', 'name': 'M. Imran', 'affiliations': [], 'homepage': None, 'paperCount': 194, 'citationCount': 1257, 'hIndex': 18}, {'authorId': '1997379', 'url': 'https://www.semanticscholar.org/author/1997379', 'name': 'Q. Abbasi', 'affiliations': [], 'homepage': None, 'paperCount': 639, 'citationCount': 4927, 'hIndex': 34}]",,2020
2178047,"[{'authorId': '144982543', 'url': 'https://www.semanticscholar.org/author/144982543', 'name': 'C. Unnithan', 'affiliations': [], 'homepage': None, 'paperCount': 112, 'citationCount': 397, 'hIndex': 10}, {'authorId': '144461184', 'url': 'https://www.semanticscholar.org/author/144461184', 'name': 'E. Chan', 'affiliations': [], 'homepage': None, 'paperCount': 37, 'citationCount': 124, 'hIndex': 7}, {'authorId': '2196534', 'url': 'https://www.semanticscholar.org/author/2196534', 'name': 'P. Swatman', 'affiliations': [], 'homepage': None, 'paperCount': 190, 'citationCount': 3244, 'hIndex': 26}]",976927f9-0db0-4946-925d-d113880b67d9,2002
36606960,"[{'authorId': '20353786', 'url': 'https://www.semanticscholar.org/author/20353786', 'name': 'G. Wylie', 'affiliations': [], 'homepage': None, 'paperCount': 13, 'citationCount': 116, 'hIndex': 5}, {'authorId': '38559013', 'url': 'https://www.semanticscholar.org/author/38559013', 'name': 'Zoë Young', 'affiliations': [], 'homepage': None, 'paperCount': 6, 'citationCount': 47, 'hIndex': 3}, {'authorId': '5606433', 'url': 'https://www.semanticscholar.org/author/5606433', 'name': 'R. Littleford', 'affiliations': [], 'homepage': None, 'paperCount': 70, 'citationCount': 1174, 'hIndex': 19}, {'authorId': '49119909', 'url': 'https://www.semanticscholar.org/author/49119909', 'name': 'F. Sullivan', 'affiliations': [], 'homepage': None, 'paperCount': 116, 'citationCount': 2783, 'hIndex': 23}, {'authorId': '1871985', 'url': 'https://www.semanticscholar.org/author/1871985', 'name': 'J. Coyle', 'affiliations': [], 'homepage': None, 'paperCount': 43, 'citationCount': 2338, 'hIndex': 17}, {'authorId': '144531222', 'url': 'https://www.semanticscholar.org/author/144531222', 'name': 'B. Williams', 'affiliations': [], 'homepage': None, 'paperCount': 102, 'citationCount': 2737, 'hIndex': 21}, {'authorId': '4599691', 'url': 'https://www.semanticscholar.org/author/4599691', 'name': 'H. Menz', 'affiliations': [], 'homepage': None, 'paperCount': 580, 'citationCount': 25053, 'hIndex': 85}, {'authorId': '4067966', 'url': 'https://www.semanticscholar.org/author/4067966', 'name': 'S. Ogston', 'affiliations': [], 'homepage': None, 'paperCount': 182, 'citationCount': 8457, 'hIndex': 51}, {'authorId': '2118077161', 'url': 'https://www.semanticscholar.org/author/2118077161', 'name': 'Jacqui H Morris', 'affiliations': [], 'homepage': None, 'paperCount': 97, 'citationCount': 1886, 'hIndex': 19}]",910f05b9-f423-44fc-9fc1-c6b3d2481fe0,2015
