id,volume,year,fake,editor
52df9a54-6cc3-4685-9826-f6ba927def1a-12 24,12 24,2020,0,6748076
9f840236-aa46-478e-98fe-68a1fe8b823e-nan,,2021,0,49836121
b6b26b43-2fef-41ad-98b9-af7ba33afa6b-97 Suppl 6,97 Suppl 6,2014,0,25565174
910f05b9-f423-44fc-9fc1-c6b3d2481fe0-8,8,2015,0,2176072742
137df871-0be4-4ea4-9f85-52b2b36070a3-145 1,145 1,2014,0,145778299
f99f77b7-b1b6-44d3-984a-f288e9884b9b-10,10,2020,0,96744667
b5d743df-8523-464c-a1f4-10ead6be30a6-38,38,2020,0,92164500
8f99db2e-5ab5-462f-829a-8eeced9b7be1-nan,,2020,0,1996026850
ed779cb8-b256-4933-85c7-2ca9868bb58b-256,256,2020,0,6100220
5fb10eaf-a09b-4e33-a397-37d9210767e5-207,207,2004,0,4372090
552d0a68-9aa4-4518-b8c4-666b3d9e0fef-65,65,2014,0,61228327
cf33e1f1-4e08-40d3-89b4-ca4ff2b66125-nan,,2020,0,48930968
22fa9d61-53c5-41ed-9de0-f4d601bc7347-72,72,2018,0,8154045
7946ed64-b41c-474b-bcba-636664f5df02-281,281,2014,0,5145543
dde2f643-6f46-48ec-82a6-6f398b3b0d0b-9,9,2005,0,2115243847
f498f529-8b18-4bdb-93a9-f3123a14a833-50 3,50 3,2016,0,3547287
18bd75fb-03db-4a15-ba44-fe2fecdef51b-96,96,2016,0,47277160
3687d0a0-e583-4c86-b239-50d545661574-51,51,2008,0,120658032
70cd7ad3-6635-4b16-8dce-7ef15977ebdb-nan,,2021,0,6643277
3e924bb0-3731-4d92-9423-2cc0388e6d82-99 32,99 32,2019,0,389383252
3c26139d-3b45-4ab8-97d3-059246312705-15,15,2004,0,50262144
8e374fd7-664a-498f-9dc8-f0e1a9f358dd-68 20,68 20,1977,0,119656208
d1d486ec-2c87-4721-8bca-f399625d18e5-120 1,120 1,1967,0,30786273
db54ab8b-cf08-4de6-b69a-0fae0f4ab997-96,96,2017,0,3678238
e8ed6f59-efdb-4516-96f6-7b427c9f1c21-51 7,51 7,1998,0,32557707
e1c5dcc4-7454-4f13-be9e-d45ac7c88ba7-9,9,1984,0,33281166
6ae5af1a-c876-4790-a0a9-2a319cc86eea-27 12,27 12,1977,0,3059733
98dbdba6-7038-4051-a96c-357ab826ee7a-21,21,2015,0,4100894
396750b3-c753-4765-b283-ca20a4ddd616-71 2,71 2,2012,0,1804561
9eee5892-5ec1-43c5-8b55-447ccd2ea709-92,92,2007,0,381711963
900c81e6-225b-4082-ab9f-6ce96de83f5d-32 1,32 1,2012,0,1834834
027ffd21-ebb0-4af8-baf5-911124292fd0-26,26,2019,0,40117732
fc42e269-2a82-46d5-9175-2fd5bba88d78-,,2019,0,2072414592
346d37c6-8ac8-4510-9273-a445b61e92dd-31 8,31 8,2017,0,3790318
befe79e7-4edb-4281-9c6b-d16dbe123330-50,50,1943,0,3845199
4c1bc8cf-5a6c-4b67-8d4a-dbc2ce7a06ae-20,20,1984,0,5176528
9748b6b2-3e9d-4c15-a9ec-f42ac7fe320a-38,38,1961,0,433658684
7d24457b-a218-444c-841d-15d85c81040d-29 2,29 2,1972,0,2108781213
a3da0b9b-c8ef-4c37-94d3-27c2d2dd4e90-71 2,71 2,1977,0,145093992
77763466-b39a-4c8d-b3f9-c704a5a7edf6-6 5,6 5,1977,0,30846370
1558bc92-3574-4cd1-9b9a-0fccd2957ffe-47 11,47 11,1971,0,9913139
8e374fd7-664a-498f-9dc8-f0e1a9f358dd-nan,,2021,0,870058769
